A;SECTION A HUMAN NECESSITIES
A01N0043900000;having two or more relevant hetero rings, condensed among themselves or with a common carbocyclic ring system
A01N0043920000;having rings with one or more halogen atoms as ring hetero atoms
A01N0045000000;Biocides, pest repellants or attractants, or plant growth regulators containing compounds having three or more carbocyclic rings condensed among themselves, at least one ring not being a six-membered ring (halogenated hydrocarbons A01N0029080000. condensed with heterocyclic rings A01N0043000000)
A01N0045020000;having three carbocyclic rings
A01N0047000000;Biocides, pest repellants or attractants, or plant growth regulators containing organic compounds containing a carbon atom not being member of a ring and having no bond to a carbon or hydrogen atom, e.g. derivatives of carbonic acid (carbon tetrahalides A01N0029020000)
A01N0047020000;the carbon atom having no bond to a nitrogen atom
A01N0047040000;containing . NSCHal3 groups
A01N0047060000;containing . OCOO groupsThio-analogues thereof
A01N0047080000;the carbon atom having one or more single bonds to nitrogen atoms
A01N0047100000;Carbamic acid derivatives, i.e. containing the group . OCONThio-analogues thereof
A01N0047120000;containing a . OCON group, or a thio-analogue thereof, neither directly attached to a ring nor the nitrogen atom being a member of a heterocyclic ring
A01N0047140000;Di-thio-analogues thereof
A01N0047160000;the nitrogen atom being part of a heterocyclic ring
A01N0047180000;containing a . OCON group, or a thio-analogue thereof, directly attached to a heterocyclic or cycloaliphatic ring
A01N0047200000;N-Aryl derivatives thereof
A01N0047220000;O-Aryl or S-Aryl esters thereof
A01N0047240000;containing the groups ,  or Thio-analogues thereof
A01N0047260000;Oxidation products of dithiocarbamic acid derivatives, e.g. thiuram sulfides
A01N0047280000;Ureas or thioureas containing the groups  NCON or NCSN(isoureas, isothioureas A01N0047420000)
A01N0047300000;Derivatives containing the group . NCONaryl or NCSNaryl
A01N0047320000;containing . NCON or NCSN groups directly attached to a cycloaliphatic ring
A01N0047340000;containing the groups , e.g. biuretThio-analogues thereof. Urea-aldehyde condensation products
A01N0047360000;containing the group . NCON directly attached to at least one heterocyclic ringThio-analogues thereof
A01N0047380000;containing the group . NCON where at least one nitrogen atom is part of a heterocyclic ringThio-analogues thereof
A01N0047400000;the carbon atom having a double or triple bond to nitrogen, e.g. cyanates, cyanamides (inorganic cyanamides A01N0059240000)
A01N0047420000;containing . NCX2 groups, e.g. isothiourea
A01N0047440000;Guanidine. Derivatives thereof
A01N0047460000;containing . NCS groups
A01N0047480000;containing  SCN groups(A01N0043000000-A01N0047380000.  take precedence)..
A01N0049000000;Biocides, pest repellants or attractants, or plant growth regulators containing compounds containing the group   wherein m+n1, both X together may also mean Y or a direct carbon-to-carbon bond, and the carbon atoms marked with an asterisk are not part of any ring system other than that which may be formed by the atoms X, the carbon atoms in square brackets being part of any acyclic or cyclic structure, or the group  wherein A means a carbon atom or Y, n  0, and not more than one of these carbon atoms being a member of the same ring system, e.g. juvenile insect hormones or mimics thereof(containing hydrocarbons A01N0027000000)
A01N0051000000;Biocides, pest repellants or attractants, or plant growth regulators containing organic compounds having the sequences of atoms O. NS, XOS, NNS, ONN or O-halogen, regardless of the number of bonds each atom has and with no atom of these sequences forming part of a heterocyclic ring
A01N0053000000;Biocides, pest repellants or attractants, or plant growth regulators containing cyclopropane carboxylic acids or derivatives thereof
A01N0053020000;Esters containing the group , wherein the carbon atom marked with an asterisk is acyclic or part of a ring or ring systemThio-analogues thereof
A01N0053040000;having heterocyclic rings
A01N0053060000;the carbon atom marked with an asterisk being acyclic and directly bound to a carbon atom of a six-membered aromatic ring, e.g. benzyl esters. Thio-analogues thereof
A01N0053080000;with aryloxy groups bound to the six-membered aromatic ring, e.g. phenoxybenzyl esters. Thio-analogues thereof
A01N0053100000;Esters not provided for in groups . A01N0053040000.  or A01N0053060000
A01N0053120000;Compounds containing the group , X or Y being a nitrogen atom, e.g. cyclopropane carboxylic acid amides
A01N0053140000;Cyclopropane carboxylic acid nitriles
A01N0055000000;Biocides, pest repellants or attractants, or plant growth regulators containing organic compounds containing elements other than carbon, hydrogen, halogen, oxygen, nitrogen and sulfur (containing organo-phosphorus compounds A01N0057000000)
A01N0055020000;containing metal atoms
A01N0055040000;Tin
A01N0055060000;Mercury
A01N0055080000;containing boron
A01N0055100000;containing silicon
A01N0057000000;Biocides, pest repellants or attractants, or plant growth regulators containing organic phosphorus compounds
A01N0057020000;having alternatively specified atoms bound to the phosphorus atom and not covered by a single one of groups . A01N0057100000, A01N0057180000, A01N0057260000, A01N0057340000
A01N0057040000;containing acyclic or cycloaliphatic radicals
A01N0057060000;containing aromatic radicals
A01N0057080000;containing heterocyclic radicals
A01N0057100000;having phosphorus-to-oxygen bonds or phosphorus-to-sulfur bonds (A01N0057020000 takes precedence)..
A01N0057120000;containing acyclic or cycloaliphatic radicals
A01N0057140000;containing aromatic radicals
A01N0057160000;containing heterocyclic radicals
A01N0057180000;having phosphorus-to-carbon bonds (A01N0057020000 takes precedence)..
A01N0057200000;containing acyclic or cycloaliphatic radicals
A01N0057220000;containing aromatic radicals
A01N0057240000;containing heterocyclic radicals
A01N0057260000;having phosphorus-to-nitrogen bonds (A01N0057020000 takes precedence)..
A01N0057280000;containing acyclic or cycloaliphatic radicals
A01N0057300000;containing aromatic radicals
A01N0057320000;containing heterocyclic radicals
A01N0057340000;having phosphorus-to-halogen bonds. Phosphonium salts
A01N0057360000;having phosphorus as a ring member
A01N0059000000;Biocides, pest repellants or attractants, or plant growth regulators containing elements or inorganic compounds
A01N0059020000;Sulfur. Selenium. Tellurium. Compounds thereof
A01N0059040000;Carbon disulfide. Carbon monoxide. Carbon dioxide (treatment of plants with carbon dioxide A01G0007020000)
A01N0059060000;Aluminium. Calcium. Magnesium. Compounds thereof
A01N0059080000;Alkali metal chlorides. Alkaline earth metal chlorides
A01N0059100000;Fluorides
A01N0059120000;Iodine, e.g. iodophors. Compounds thereof
A01N0059140000;Boron. Compounds thereof
A01N0059160000;Heavy metals. Compounds thereof
A01N0059180000;Mercury
A01N0059200000;Copper
A01N0059220000;Arsenic
A01N0059240000;Cyanogen or compounds thereof, e.g. hydrogen cyanide, cyanic acid, cyanamide, thiocyanic acid
A01N0059260000;Phosphorus. Compounds thereof
A01N0061000000;Biocides, pest repellants or attractants, or plant growth regulators containing substances of unknown or undetermined composition, e.g. substances characterised only by the mode of action
A01N0061020000;Mineral oils. Tar oils. Tar. Distillates, extracts or conversion products thereof (containing single chemical compounds isolated from these materials A01N0027000000-A01N0059000000)
A01N0063000000;Biocides, pest repellants or attractants, or plant growth regulators containing micro-organisms, viruses, microbial fungi, animals, e.g. nematodes, or substances produced by, or obtained from micro-organisms, viruses, microbial fungi or animals, e.g. enzymes or fermentates (containing compounds of determined constitution A01N0027000000-A01N0059000000)
A01N0063020000;Substances produced by, or obtained from, micro-organisms or animals
A01N0063040000;Microbial fungi.  Substances produced thereby or obtained therefrom
A01N0065000000;Biocides, pest repellants or attractants, or plant growth regulators containing material from algae, lichens, bryophyta, multi-cellular fungi or plants, or extracts thereof (containing compounds of determined constitution A01N0027000000-A01N0059000000)
A01N0065030000;Algae
A01N0065040000;Pteridophyta [fern allies]. Filicophyta [ferns]
A01N0065060000;Coniferophyta [gymnosperms], e.g. cypress
A01N0065080000;Magnoliopsida [dicotyledons]
A01N0065100000;Apiaceae or Umbelliferae [Carrot family], e.g. parsley, caraway, dill, lovage, fennel or snakebed
A01N0065120000;Asteraceae or Compositae [Aster or Sunflower family], e.g. daisy, pyrethrum, artichoke, lettuce, sunflower, wormwood or tarragon
A01N0065140000;Celastraceae [Staff-tree or Bittersweet family], e.g. spindle tree, bittersweet or thunder god vine
A01N0065160000;Ericaceae [Heath or Blueberry family], e.g. rhododendron, arbutus, pieris, cranberry or bilberry
A01N0065180000;Euphorbiaceae [Spurge family], e.g. ricinus [castorbean]
A01N0065200000;Fabaceae or Leguminosae [Pea or Legume family], e.g. pea, lentil, soybean, clover, acacia, honey locust, derris or millettia
A01N0065220000;Lamiaceae or Labiatae [Mint family], e.g. thyme, rosemary, skullcap, selfheal, lavender, perilla, pennyroyal, peppermint or spearmint
A01N0065240000;Lauraceae [Laurel family], e.g. laurel, avocado, sassafras, cinnamon or camphor
A01N0065260000;Meliaceae [Chinaberry or Mahogany family], e.g. mahogany, langsat or neem
A01N0065280000;Myrtaceae [Myrtle family], e.g. teatree or clove
A01N0065300000;Polygonaceae [Buckwheat family], e.g. red-knees or rhubarb
A01N0065320000;Ranunculaceae [Buttercup family], e.g. hepatica, hydrastis or goldenseal
A01N0065340000;Rosaceae [Rose family], e.g. strawberry, hawthorn, plum, cherry, peach, apricot or almond
A01N0065360000;Rutaceae [Rue family], e.g. lime, orange, lemon, corktree or pricklyash
A01N0065380000;Solanaceae [Potato family], e.g. nightshade, tomato, tobacco or chilli pepper
A01N0065400000;Liliopsida [monocotyledons]
A01N0065420000;Aloeaceae [Aloe family] or Liliaceae [Lily family], e.g. aloe, veratrum, onion, garlic or chives
A01N0065440000;Poaceae or Gramineae [Grass family], e.g. bamboo, lemon grass or citronella grass
A01N0065460000;Stemonaceae [Stemona family], e.g. croomia
A01N0065480000;Zingiberaceae [Ginger family], e.g. ginger or galangal
A01P;BIOCIDAL, PEST REPELLANT, PEST ATTRACTANT OR PLANT GROWTH REGULATORY ACTIVITY OF CHEMICAL COMPOUNDS OR PREPARATIONS
A01P0001000000;Disinfectants. Antimicrobial compounds or mixtures thereof
A01P0003000000;Fungicides
A01P0005000000;Nematocides
A01P0007000000;Arthropodicides
A01P0007020000;Acaricides
A01P0007040000;Insecticides
A01P0009000000;Molluscicides
A01P0011000000;Rodenticides
A01P0013000000;Herbicides. Algicides
A01P0013020000;selective
A01P0015000000;Biocides for specific purposes not provided for in groups . A01P0001000000-A01P0013000000
A01P0017000000;Pest repellants
A01P0019000000;Pest attractants
A01P0021000000;Plant growth regulators
A01P0023000000;Chemosterilants
A21;BAKING. EQUIPMENT FOR MAKING OR PROCESSING DOUGHS. DOUGHS FOR BAKING
A21B;BAKERS' OVENS. MACHINES OR EQUIPMENT FOR BAKING (domestic baking equipment A47J0037000000. combustion apparatus F23. domestic stoves or ranges being wholly or partly ovens F24B, F24C)
A21B0001000000;Bakers' ovens
A21B0001020000;characterised by the heating arrangements
A21B0001040000;Ovens heated by fire before baking only
A21B0001060000;Ovens heated by radiators
A21B0001080000;by steam-heated radiators
A21B0001100000;by radiators heated by fluids other than steam
A21B0001140000;Arrangement of radiators
A21B0001220000;by electric radiators (A21B0002000000 takes precedence.electric heating elements H05B)
A21B0001240000;Ovens heated by media flowing therethrough
A21B0001260000;by hot air
A21B0001280000;by gaseous combustion products
A21B0001330000;Ovens heated directly by combustion products (A21B0001040000 takes precedence)..
A21B0001360000;Ovens heated directly by hot fluid (A21B0001060000, A21B0001330000 take precedence)..
