D;SECTION D TEXTILESPAPER
D21H0013040000;Cellulose ethers
D21H0013060000;Cellulose esters
D21H0013080000;from regenerated cellulose
D21H0013100000;Organic non-cellulose fibres
D21H0013120000;from macromolecular compounds obtained by reactions only involving carbon-to-carbon unsaturated bonds
D21H0013140000;Polyalkenes, e.g. polystyrene
D21H0013160000;Polyalkenylalcohols. Polyalkenylethers. Polyalkenylesters
D21H0013180000;Polymers of unsaturated acids or derivatives thereof, e.g. polyacrylonitriles
D21H0013200000;from macromolecular compounds obtained otherwise than by reactions only involving carbon-to-carbon unsaturated bonds
D21H0013220000;Condensation polymers of aldehydes or ketones
D21H0013240000;Polyesters
D21H0013260000;Polyamides. Polyimides
D21H0013280000;from natural polymers
D21H0013300000;Non-cellulose polysaccharides
D21H0013320000;Alginate fibres
D21H0013340000;Protein fibres
D21H0013360000;Inorganic fibres or flakes
D21H0013380000;siliceous
D21H0013400000;vitreous, e.g. mineral wool or glass fibres
D21H0013420000;Asbestos
D21H0013440000;Flakes, e.g. mica or vermiculite
D21H0013460000;Non-siliceous fibres, e.g. from metal oxides
D21H0013480000;Metal or metallised fibres
D21H0013500000;Carbon fibres
D21H0015000000;Pulp or paper, comprising fibres or web-forming material characterised by features other than their chemical constitution
D21H0015020000;characterised by configuration
D21H0015040000;crimped, kinked, curled or twisted fibres
D21H0015060000;Long fibres, i.e. fibres exceeding the upper length limit of conventional paper-making fibres. Filaments
D21H0015080000;Flakes (D21H0013440000 takes precedence)..
D21H0015100000;Composite fibres
D21H0015120000;partly organic or partly inorganic
D21H0017000000;Non-fibrous material added to the pulp, characterised by its constitution. Paper-impregnating material characterised by its constitution
D21H0017010000;Waste products, e.g. sludge
D21H0017020000;Material of vegetable origin (proteins D21H0017220000. lignins D21H0017230000. polysaccharides D21H0017240000. rosin D21H0017620000)
D21H0017030000;Non-macromolecular organic compounds
D21H0017040000;Hydrocarbons
D21H0017050000;containing elements other than carbon and hydrogen only
D21H0017060000;Alcohols. Phenols. Ethers. Aldehydes. Ketones. Acetals. Ketals
D21H0017070000;Nitrogen-containing compounds
D21H0017080000;Isocyanates
D21H0017090000;Sulfur-containing compounds
D21H0017100000;Phosphorus-containing compounds
D21H0017110000;Halides
D21H0017120000;Organo-metallic compounds
D21H0017130000;Silicon-containing compounds
D21H0017140000;Carboxylic acids. Derivatives thereof
D21H0017150000;Polycarboxylic acids, e.g. maleic acid
D21H0017160000;Addition products thereof with hydrocarbons
D21H0017170000;Ketenes, e.g. ketene dimers
D21H0017180000;forming new compounds . in situ, e.g. within the pulp or paper, by chemical reaction with itself, or other added substances
D21H0017190000;by reactions only involving carbon-to-carbon unsaturated bonds
D21H0017200000;Macromolecular organic compounds
D21H0017210000;of natural origin. Derivatives thereof
D21H0017220000;Proteins
D21H0017230000;Lignins
D21H0017240000;Polysaccharides
D21H0017250000;Cellulose
D21H0017260000;Ethers thereof
D21H0017270000;Esters thereof
D21H0017280000;Starch
D21H0017290000;cationic
D21H0017300000;Alginic acid or alginates
D21H0017310000;Gums
D21H0017320000;Guar gum
D21H0017330000;Synthetic macromolecular compounds
D21H0017340000;obtained by reactions only involving carbon-to-carbon unsaturated bonds
D21H0017350000;Polyalkenes, e.g. polystyrene
D21H0017360000;Polyalkenylalcohols. Polyalkenylethers. Polyalkenylesters
D21H0017370000;Polymers of unsaturated acids or derivatives thereof, e.g. polyacrylates
D21H0017380000;containing crosslinkable groups
D21H0017390000;forming ether crosslinkages, e.g. alkylol groups
D21H0017400000;unsaturated
D21H0017410000;containing ionic groups
D21H0017420000;anionic
D21H0017430000;Carboxyl groups or derivatives thereof
D21H0017440000;cationic
D21H0017450000;Nitrogen-containing groups
D21H0017460000;obtained otherwise than by reactions only involving carbon-to-carbon unsaturated bonds
D21H0017470000;Condensation polymers of aldehydes or ketones
D21H0017480000;with phenols
D21H0017490000;with compounds containing hydrogen bound to nitrogen
D21H0017500000;Acyclic compounds
D21H0017510000;Triazines, e.g. melamine
D21H0017520000;Epoxy resins
D21H0017530000;Polyethers. Polyesters
D21H0017540000;obtained by reactions forming in the main chain of the macromolecule a linkage containing nitrogen
D21H0017550000;Polyamides. Polyaminoamides. Polyester-amides
D21H0017560000;Polyamines. Polyimines. Polyester-imides
D21H0017570000;Polyureas. Polyurethanes
D21H0017580000;obtained by reactions forming in the main chain of the macromolecule a linkage containing sulfur
D21H0017590000;obtained by reactions forming in the main chain of the macromolecule a linkage containing silicon
D21H0017600000;Waxes
D21H0017610000;Bitumen
D21H0017620000;Rosin. Derivatives thereof
D21H0017630000;Inorganic compounds
D21H0017640000;Alkaline compounds
D21H0017650000;Acid compounds
D21H0017660000;Salts, e.g. alums
D21H0017670000;Water-insoluble compounds, e.g. fillers or pigments
D21H0017680000;siliceous, e.g. clays
D21H0017690000;modified, e.g. by association with other compositions prior to incorporation in the pulp or paper
D21H0017700000;forming new compounds . in situ, e.g. within the pulp or paper, by chemical reaction with other substances added separately
D21H0019000000;Coated paper (coated fibreboard D21J0001080000). Coating material (recording sheets characterised by the coating used to improve ink, dye or pigment receptivity B41M0005500000)
D21H0019020000;Metal coatings (D21H0019660000 takes precedence)..
D21H0019040000;applied as foil
D21H0019060000;applied as liquid or powder
D21H0019080000;applied as vapour, e.g. in vacuum
D21H0019100000;Coatings without pigments (D21H0019660000 takes precedence)..
D21H0019120000;applied as a solution using water as the only solvent, e.g. in the presence of acid or alkaline compounds
D21H0019140000;applied in a form other than the aqueous solution defined in group . D21H0019120000
D21H0019160000;comprising curable or polymerisable compounds (D21H0019240000 takes precedence)..
D21H0019180000;comprising waxes
D21H0019200000;comprising macromolecular compounds obtained by reactions only involving carbon-to-carbon unsaturated bonds
D21H0019220000;Polyalkenes, e.g. polystyrene
D21H0019240000;comprising macromolecular compounds obtained otherwise than by reactions only involving carbon-to-carbon unsaturated bonds
D21H0019260000;Aminoplasts
D21H0019280000;Polyesters
D21H0019300000;Polyamides. Polyimides
D21H0019320000;obtained by reactions forming a linkage containing silicon in the main chain of the macromolecule
D21H0019340000;comprising cellulose or derivatives thereof
D21H0019360000;Coatings with pigments (D21H0019660000 takes precedence.metal powder D21H0019060000)
D21H0019380000;characterised by the pigments
D21H0019400000;siliceous, e.g. clays
D21H0019420000;at least partly organic
D21H0019440000;characterised by the other ingredients, e.g. the binder or dispersing agent
D21H0019460000;Non-macromolecular organic compounds
D21H0019480000;Diolefins, e.g. butadiene. Aromatic vinyl monomers, e.g. styrene. Polymerisable unsaturated acids or derivatives thereof, e.g. acrylic acid
D21H0019500000;Proteins
D21H0019520000;Cellulose. Derivatives thereof
D21H0019540000;Starch
D21H0019560000;Macromolecular organic compounds or oligomers thereof obtained by reactions only involving carbon-to-carbon unsaturated bonds
D21H0019580000;Polymers or oligomers of diolefins, aromatic vinyl monomers or unsaturated acids or derivatives thereof
D21H0019600000;Polyalkenylalcohols. Polyalkenylethers. Polyalkenylesters
D21H0019620000;Macromolecular organic compounds or oligomers thereof obtained otherwise than by reactions only involving carbon-to-carbon unsaturated bonds
D21H0019640000;Inorganic compounds
D21H0019660000;Coatings characterised by a special visual effect, e.g. patterned or textured (marbled paper D21H0027040000)
D21H0019680000;uneven, broken or discontinuous
D21H0019700000;with internal voids, e.g. bubble coatings
D21H0019720000;Coated paper characterised by the paper substrate
D21H0019740000;the substrate having an uneven surface, e.g. crêped or corrugated paper
D21H0019760000;the substrate having specific absorbent properties
D21H0019780000;being substantially impervious to the coating
D21H0019800000;Paper comprising more than one coating (D21H0019020000 takes precedence)..
D21H0019820000;superposed
D21H0019840000;on both sides of the substrate
D21H0021000000;Non-fibrous material added to the pulp, characterised by its function, form or properties. Paper impregnating or coating material, characterised by its function, form or properties
D21H0021020000;Agents for preventing deposition on the paper mill equipment, e.g. pitch or slime control (removal of fats, resins, pitch, or waxes D21C0009080000)
D21H0021040000;Slime-control agents
D21H0021060000;Paper forming aids
D21H0021080000;Dispersing agents for fibres
D21H0021100000;Retention agents or drainage improvers
D21H0021120000;Defoamers
D21H0021140000;characterised by function or properties in or on the paper (D21H0019660000, D21H0027020000 take precedence)..
D21H0021160000;Sizing or water-repelling agents
D21H0021180000;Reinforcing agents
D21H0021200000;Wet strength agents
D21H0021220000;Agents rendering paper porous, absorbent or bulky
D21H0021240000;Surfactants
D21H0021260000;Agents rendering paper transparent or translucent
D21H0021280000;Colorants
D21H0021300000;Luminescent or fluorescent substances, e.g. for optical bleaching (D21H0021400000 takes precedence)..
D21H0021320000;Bleaching agents (bleaching cellulose pulp D21C0009100000)
D21H0021340000;Ignifugeants
D21H0021360000;Biocidal agents, e.g. fungicidal, bactericidal or insecticidal agents
D21H0021380000;Corrosion-inhibiting agents or anti-oxidants
D21H0021400000;Agents facilitating proof of genuineness or preventing fraudulent alteration, e.g. for security paper (watermarking B41M0003100000, D21F0001440000. security printing B41M0003140000. identification or security features of information-bearing cards or sheet-like structures, e.g. for preventing forgery B42D0025300000)
D21H0021420000;Ribbons or strips (filaments D21H0015060000)
D21H0021440000;Latent security elements, i.e. detectable or becoming apparent only by use of special verification or tampering devices or methods
D21H0021460000;Elements suited for chemical verification or impeding chemical tampering, e.g. by use of eradicators
D21H0021480000;Elements suited for physical verification, e.g. by irradiation
D21H0021500000;characterised by form (D21H0019660000, D21H0021420000, D21H0027020000 take precedence)..
D21H0021520000;Additives of definite length or shape
D21H0021540000;being spherical, e.g. microcapsules or beads
D21H0021560000;Foam
D21H0023000000;Processes or apparatus for adding material to the pulp or to the paper
D21H0023020000;characterised by the manner in which substances are added
D21H0023040000;Addition to the pulp. After-treatment of added substances in the pulp
D21H0023060000;Controlling the addition
D21H0023080000;by measuring pulp properties, e.g. zeta potential or pH
D21H0023100000;at least two kinds of compounds being added
D21H0023120000;by measuring properties of the formed web
D21H0023140000;by selecting point of addition or time of contact between components
D21H0023160000;Addition before or during pulp beating or refining
D21H0023180000;Addition at a location where shear forces are avoided before sheet-forming, e.g. after pulp beating or refining
D21H0023200000;Apparatus therefor
D21H0023220000;Addition to the formed paper
D21H0023240000;during paper manufacture
D21H0023260000;by selecting point of addition or moisture content of the paper
D21H0023280000;Addition before the dryer section, e.g. at the wet end or press section
