E;SECTION E FIXED CONSTRUCTIONS
E04B0007160000;Roof structures with movable roof parts (buildings for special purposes E04H)
E04B0007180000;Special structures in or on roofs, e.g. dormer windows (in connection with roof coverings E04D0013000000, especially domes E04D0013030000)
E04B0007200000;Roofs consisting of self-supporting slabs, e.g. able to be loaded
E04B0007220000;the slabs having insulating properties, e.g. being laminated with layers of insulating material (E04B0007240000 takes precedence)..
E04B0007240000;the slabs being collapsible, e.g. for transport
E04B0009000000;Ceilings. Construction of ceilings, e.g. false ceilings. Ceiling construction with regard to insulation (ceilings used as forms for making floors E04B0005000000. coverings or linings for ceilings E04F0013000000)
E04B0009020000;having means for ventilation or vapour discharge
E04B0009040000;comprising slabs, sheets or the like (E04B0009060000-E04B0009340000.  take precedence.slabs, sheets or the like per seE04C0002000000)
E04B0009060000;characterised by constructional features of the supporting construction
E04B0009080000;having the capability of expansion
E04B0009100000;Connections between parallel members of the supporting construction (E04B0009080000 takes precedence)..
E04B0009120000;Connections between non-parallel members of the supporting construction (E04B0009080000 takes precedence)..
E04B0009140000;all the members being discontinuous and lying at least partly in the same plane
E04B0009160000;the members lying in different planes
E04B0009180000;Means for suspending the supporting construction
E04B0009200000;adjustable
E04B0009220000;Connection of slabs, sheets or the like to the supporting construction
E04B0009240000;with the slabs, sheets or the like positioned on, or held against, horizontal flanges of the supporting construction
E04B0009260000;by means of snap action of elastically deformable elements
E04B0009280000;with the slabs, sheets or the like having grooves engaging with horizontal flanges of the supporting construction or accessory means connected thereto
E04B0009300000;characterised by edge details of the ceiling, e.g. securing to an adjacent wall
E04B0009320000;Translucent ceilings, i.e. permitting both the transmission and diffusion of light (E04B0009340000 takes precedence.lighting F21)
E04B0009340000;Open-work ceilings, e.g. lattice type (E04B0009300000 takes precedence)..
E04B0009360000;consisting of parallel slats
E04C;STRUCTURAL ELEMENTS. BUILDING MATERIALS (for bridges E01D. specially designed for insulation or other protection E04B. elements used as building aids E04G. for mining E21. for tunnels E21D. structural elements with broader range of application than for building engineering F16, particularly F16S)
E04C0001000000;Building elements of block or other shape for the construction of parts of buildings (of relatively thin form E04C0002000000. structural elongated elements designed for load-supporting E04C0003000000, e.g. columns or pillars E04C0003300000. manufacture or material of building bricks, stones, or the like B28, C03, C04. paving elements E01C. general building constructions E04B, e.g. walls E04B0002000000, floors E04B0005000000, roofs E04B0007000000, ceilings E04B0009000000. structural elements specially designed for built-in conduit shafts E04F. special elements for building ovens or furnaces F24B, F27D)
E04C0001390000;characterised by special adaptations, e.g. serving for locating conduits, for forming soffits, cornices, or shelves, for fixing wall-plates or door-frames, for claustra
E04C0001400000;built-up from parts of different materials, e.g. composed of layers of different materials or stones with filling material or with insulating inserts
E04C0001410000;composed of insulating material and load-bearing concrete, stone or stone-like material
E04C0001420000;of glass or other transparent material
E04C0002000000;Building elements of relatively thin form for the construction of parts of buildings, e.g. sheet materials, slabs, or panels (materials or manufacture, see the relevant places, e.g. B27N, B29, D21J. made in situE04B. specially designed for insulation or other protection E04B0001620000. load-carrying floor structures E04B0005020000, E04B0005160000. roofs consisting of self-supporting slabs E04B0007200000. roof- or like covering elements E04D0003000000. for lining or finishing E04F0013000000)
E04C0002020000;characterised by specified materials (translucent E04C0002540000)
E04C0002040000;of concrete or other stone-like material. of asbestos cement (E04C0002260000 takes precedence.material or manufacture B28, C04)
E04C0002060000;reinforced
E04C0002080000;of metal, e.g. sheet metal (E04C0002260000 takes precedence)..
E04C0002100000;of wood, fibres, chips, vegetable stems, or the like. of plastics. of foamed products (E04C0002260000 takes precedence)..
E04C0002120000;of solid wood
E04C0002140000;reinforced
E04C0002160000;of fibres, chips, vegetable stems, or the like
E04C0002180000;with binding wires, reinforcing bars, or the like
E04C0002200000;of plastics
E04C0002220000;reinforced
E04C0002240000;laminated and composed of materials covered by two or more of groups . E04C0002120000, E04C0002160000, E04C0002200000
E04C0002260000;composed of materials covered by two or more of groups . E04C0002040000, E04C0002080000, E04C0002100000, or of materials covered by one of these groups with a material not specified in one of these groups
E04C0002280000;combinations of materials fully covered by groups . E04C0002040000 and E04C0002080000
E04C0002284000;at least one of the materials being insulating
E04C0002288000;composed of insulating material and concrete, stone or stone-like material
E04C0002292000;composed of insulating material and sheet metal
E04C0002296000;composed of insulating material and non-metallic or unspecified sheet-material (E04C0002288000 takes precedence)..
E04C0002300000;characterised by the shape or structure (translucent E04C0002540000)
E04C0002320000;formed of corrugated or otherwise indented sheet-like material. composed of such layers with or without layers of flat sheet-like material
E04C0002340000;composed of two or more spaced sheet-like parts (E04C0002320000 takes precedence.spacers for cavity walls E04B0002440000)
E04C0002360000;spaced apart by transversely-placed strip material, e.g. honeycomb panels (honeycomb or other core members for layered products B32B)
E04C0002380000;with attached ribs, flanges, or the like, e.g. framed panels (concerned with attaching to other panels or elements to form a structure, see the places for the relevant structure, e.g. E04B0002000000)
E04C0002400000;composed of a number of smaller components rigidly or movably connected together, e.g. interlocking, hingedly connected
E04C0002420000;Gratings. Grid-like panels (reinforcing elements E04C0005000000. built-in gratings E04F0019100000. gratings in general F16S0003000000)
E04C0002520000;with special adaptations for auxiliary purposes, e.g. serving for locating conduits (E04C0002540000 takes precedence.block-shaped elements therefor E04C0001390000. floor structures incorporating ducts E04B0005480000)
E04C0002540000;Slab-like translucent elements (floors for transmitting light E04B0005460000. translucent or open-work ceilings E04B0009320000, E04B0009340000. translucent roof coverings E04D0003060000, E04D0003280000)
E04C0003000000;Structural elongated elements designed for load-supporting (as building aids E04G)
E04C0003020000;Joists. Girders, trusses, or truss-like structures, e.g. prefabricated. Lintels. Transoms (E04C0003380000 takes precedence.for structures characterised by movable, separable, or collapsible parts E04B0001343000)
E04C0003040000;of metal (E04C0003290000 takes precedence.as reinforcing elements E04C0005060000. manufacture B21)
E04C0003060000;with substantially solid, i.e. unapertured, web (E04C0003100000, E04C0003110000 take precedence)..
E04C0003070000;at least partly of bent or otherwise deformed strip- or sheet-like material
E04C0003080000;with apertured web, e.g. with a web consisting of bar-like components. Honeycomb girders (E04C0003100000, E04C0003110000 take precedence)..
E04C0003090000;at least partly of bent or otherwise deformed strip- or sheet-like material
E04C0003100000;prestressed
E04C0003110000;with non-parallel upper and lower edges, e.g. roof trusses (arched girders, portal frames E04C0003380000)
