C;SECTION C CHEMISTRY METALLURGY
C07C0233390000;having the carbon atom of the carboxamide group bound to an acyclic carbon atom of an unsaturated carbon skeleton containing rings other than six-membered aromatic rings
C07C0233400000;having the carbon atom of the carboxamide group bound to an acyclic carbon atom of a carbon skeleton containing six-membered aromatic rings
C07C0233410000;with the substituted hydrocarbon radical bound to the nitrogen atom of the carboxamide group by a carbon atom of a ring other than a six-membered aromatic ring
C07C0233420000;with the substituted hydrocarbon radical bound to the nitrogen atom of the carboxamide group by a carbon atom of a six-membered aromatic ring
C07C0233430000;having the carbon atom of the carboxamide group bound to a hydrogen atom or to a carbon atom of a saturated carbon skeleton
C07C0233440000;having the carbon atom of the carboxamide group bound to a carbon atom of an unsaturated carbon skeleton
C07C0233450000;having the nitrogen atom of at least one of the carboxamide groups bound to a carbon atom of a hydrocarbon radical substituted by carboxyl groups
C07C0233460000;with the substituted hydrocarbon radical bound to the nitrogen atom of the carboxamide group by an acyclic carbon atom
C07C0233470000;having the carbon atom of the carboxamide group bound to a hydrogen atom or to a carbon atom of an acyclic saturated carbon skeleton
C07C0233480000;having the carbon atom of the carboxamide group bound to an acyclic carbon atom of a saturated carbon skeleton containing rings
C07C0233490000;having the carbon atom of the carboxamide group bound to a carbon atom of an acyclic unsaturated carbon skeleton
C07C0233500000;having the carbon atom of the carboxamide group bound to an acyclic carbon atom of an unsaturated carbon skeleton containing rings other than six-membered aromatic rings
C07C0233510000;having the carbon atom of the carboxamide group bound to an acyclic carbon atom of a carbon skeleton containing six-membered aromatic rings
C07C0233520000;with the substituted hydrocarbon radical bound to the nitrogen atom of the carboxamide group by a carbon atom of a ring other than a six-membered aromatic ring
C07C0233530000;with the substituted hydrocarbon radical bound to the nitrogen atom of the carboxamide group by a carbon atom of a six-membered aromatic ring
C07C0233540000;having the carbon atom of the carboxamide group bound to a hydrogen atom or to a carbon atom of a saturated carbon skeleton
C07C0233550000;having the carbon atom of the carboxamide group bound to a carbon atom of an unsaturated carbon skeleton
C07C0233560000;having carbon atoms of carboxamide groups bound to carbon atoms of carboxyl groups, e.g. oxamides
C07C0233570000;having carbon atoms of carboxamide groups bound to carbon atoms of rings other than six-membered aromatic rings
C07C0233580000;having the nitrogen atoms of the carboxamide groups bound to hydrogen atoms or to carbon atoms of unsubstituted hydrocarbon radicals
C07C0233590000;having the nitrogen atom of at least one of the carboxamide groups bound to a carbon atom of a hydrocarbon radical substituted by halogen atoms or by nitro or nitroso groups
C07C0233600000;having the nitrogen atom of at least one of the carboxamide groups bound to a carbon atom of a hydrocarbon radical substituted by singly-bound oxygen atoms
C07C0233610000;having the nitrogen atom of at least one of the carboxamide groups bound to a carbon atom of a hydrocarbon radical substituted by doubly-bound oxygen atoms
C07C0233620000;having the nitrogen atom of at least one of the carboxamide groups bound to a carbon atom of a hydrocarbon radical substituted by amino groups
C07C0233630000;having the nitrogen atom of at least one of the carboxamide groups bound to a carbon atom of a hydrocarbon radical substituted by carboxyl groups
C07C0233640000;having carbon atoms of carboxamide groups bound to carbon atoms of six-membered aromatic rings
C07C0233650000;having the nitrogen atoms of the carboxamide groups bound to hydrogen atoms or to carbon atoms of unsubstituted hydrocarbon radicals
C07C0233660000;having the nitrogen atom of at least one of the carboxamide groups bound to a carbon atom of a hydrocarbon radical substituted by halogen atoms or by nitro or nitroso groups
C07C0233670000;having the nitrogen atom of at least one of the carboxamide groups bound to a carbon atom of a hydrocarbon radical substituted by singly-bound oxygen atoms
C07C0233680000;with the substituted hydrocarbon radical bound to the nitrogen atom of the carboxamide group by an acyclic carbon atom
C07C0233690000;of an acyclic saturated carbon skeleton
C07C0233700000;of a saturated carbon skeleton containing rings
C07C0233710000;of an acyclic unsaturated carbon skeleton
C07C0233720000;of an unsaturated carbon skeleton containing rings other than six-membered aromatic rings
C07C0233730000;of a carbon skeleton containing six-membered aromatic rings
C07C0233740000;with the substituted hydrocarbon radical bound to the nitrogen atom of the carboxamide group by a carbon atom of a ring other than a six-membered aromatic ring
C07C0233750000;with the substituted hydrocarbon radical bound to the nitrogen atom of the carboxamide group by a carbon atom of a six-membered aromatic ring
C07C0233760000;having the nitrogen atom of at least one of the carboxamide groups bound to a carbon atom of a hydrocarbon radical substituted by doubly-bound oxygen atoms
C07C0233770000;having the nitrogen atom of at least one of the carboxamide groups bound to a carbon atom of a hydrocarbon radical substituted by amino groups
C07C0233780000;with the substituted hydrocarbon radical bound to the nitrogen atom of the carboxamide group by an acyclic carbon atom
C07C0233790000;with the substituted hydrocarbon radical bound to the nitrogen atom of the carboxamide group by a carbon atom of a ring other than a six-membered aromatic ring
C07C0233800000;with the substituted hydrocarbon radical bound to the nitrogen atom of the carboxamide group by a carbon atom of a six-membered aromatic ring
C07C0233810000;having the nitrogen atom of at least one of the carboxamide groups bound to a carbon atom of a hydrocarbon radical substituted by carboxyl groups
C07C0233820000;with the substituted hydrocarbon radical bound to the nitrogen atom of the carboxamide group by an acyclic carbon atom
C07C0233830000;of an acyclic saturated carbon skeleton
C07C0233840000;of a saturated carbon skeleton containing rings
C07C0233850000;of an acyclic unsaturated carbon skeleton
C07C0233860000;of an unsaturated carbon skeleton containing rings other than six-membered aromatic rings
C07C0233870000;of a carbon skeleton containing six-membered aromatic rings
C07C0233880000;having nitrogen atoms of carboxamide groups bound to an acyclic carbon atom and to a carbon atom of a six-membered aromatic ring wherein at least one ortho-hydrogen atom has been replaced
C07C0233890000;having nitrogen atoms of carboxamide groups quaternised
C07C0233900000;having nitrogen atoms of carboxamide groups further acylated
C07C0233910000;with carbon atoms of the carboxamide groups bound to acyclic carbon atoms
C07C0233920000;with at least one carbon atom of the carboxamide groups bound to a carbon atom of a six-membered aromatic ring
C07C0235000000;Carboxylic acid amides, the carbon skeleton of the acid part being further substituted by oxygen atoms
C07C0235020000;having carbon atoms of carboxamide groups bound to acyclic carbon atoms and singly-bound oxygen atoms bound to the same carbon skeleton
C07C0235040000;the carbon skeleton being acyclic and saturated
C07C0235060000;having the nitrogen atoms of the carboxamide groups bound to hydrogen atoms or to acyclic carbon atoms
C07C0235080000;having the nitrogen atom of at least one of the carboxamide groups bound to an acyclic carbon atom of a hydrocarbon radical substituted by singly-bound oxygen atoms
C07C0235100000;having the nitrogen atom of at least one of the carboxamide groups bound to an acyclic carbon atom of a hydrocarbon radical substituted by nitrogen atoms not being part of nitro or nitroso groups
C07C0235120000;having the nitrogen atom of at least one of the carboxamide groups bound to an acyclic carbon atom of a hydrocarbon radical substituted by carboxyl groups
C07C0235140000;having the nitrogen atom of at least one of the carboxamide groups bound to a carbon atom of a ring other than a six-membered aromatic ring
C07C0235160000;having the nitrogen atom of at least one of the carboxamide groups bound to a carbon atom of a six-membered aromatic ring
