H;SECTION H ELECTRICITY
H01J0049140000;using particle bombardment, e.g. ionisation chambers
H01J0049160000;using surface ionisation, e.g. field-, thermionic- or photo-emission
H01J0049180000;using spark ionisation
H01J0049200000;Magnetic deflection
H01J0049220000;Electrostatic deflection
H01J0049240000;Vacuum systems, e.g. maintaining desired pressures
H01J0049260000;Mass spectrometers or separator tubes
H01J0049280000;Static spectrometers
H01J0049300000;using magnetic analysers
H01J0049320000;using double focusing
H01J0049340000;Dynamic spectrometers
H01J0049360000;Radio frequency spectrometers, e.g. Bennett-type spectrometers, Redhead-type spectrometers
H01J0049380000;Omegatrons
H01J0049400000;Time-of-flight spectrometers (H01J0049360000 takes precedence)..
H01J0049420000;Stability-of-path spectrometers, e.g. monopole, quadrupole, multipole, farvitrons
H01J0049440000;Energy spectrometers, e.g. alpha-, beta-spectrometers
H01J0049460000;Static spectrometers
H01J0049480000;using electrostatic analysers, e.g. cylindrical sector, Wien filter
H01J0061000000;Discharge lamps
H01J0061000000;Gas-discharge or vapour-discharge lamps (arc lamps with consumable electrodes H05B. electroluminescent lamps H05B)
H01J0061020000;Details
H01J0061040000;Electrodes (for igniting H01J0061540000). Screens. Shields
H01J0061060000;Main electrodes
H01J0061067000;for low-pressure discharge lamps
H01J0061073000;for high-pressure discharge lamps
H01J0061090000;Hollow cathodes
H01J0061100000;Shield, screens, or guides for influencing the discharge
H01J0061120000;Selection of substances for gas fillings. Specified operating pressure or temperature
H01J0061140000;having one or more carbon compounds as the principal constituents
H01J0061160000;having helium, argon, neon, krypton, or xenon as the principle constituent
H01J0061180000;having a metallic vapour as the principal constituent
H01J0061200000;mercury vapour
H01J0061220000;vapour of an alkali metal
H01J0061240000;Means for obtaining or maintaining the desired pressure within the vessel
H01J0061260000;Means for absorbing or adsorbing gas, e.g. by gettering. Means for preventing blackening of the envelope
H01J0061280000;Means for producing, introducing, or replenishing gas or vapour during operation of the lamp
H01J0061300000;Vessels. Containers
H01J0061320000;Special longitudinal shape, e.g. for advertising purposes
H01J0061330000;Special shape of cross-section, e.g. for producing cool spot
H01J0061340000;Double-wall vessels or containers
H01J0061350000;provided with coatings on the walls thereof. Selection of materials for the coatings (using coloured coatings H01J0061400000. using luminescent coatings H01J0061420000)
H01J0061360000;Seals between parts of vessels. Seals for leading-in conductors. Leading-in conductors
H01J0061380000;Devices for influencing the colour or wavelength of the light
H01J0061400000;by light-filters. by coloured coatings in or on the envelope
H01J0061420000;by transforming the wavelength of the light by luminescence
H01J0061440000;Devices characterised by the luminescent material
H01J0061460000;Devices characterised by the binder or other non-luminescent constituent of the luminescent material, e.g. for obtaining desired pouring or drying properties
H01J0061480000;Separate coatings of different luminous materials
H01J0061500000;Auxiliary parts or solid material within the envelope for reducing risk of explosion upon breakage of the envelope, e.g. for use in mines
H01J0061520000;Cooling arrangements. Heating arrangements. Means for circulating gas or vapour within the discharge space
H01J0061540000;Igniting arrangements, e.g. promoting ionisation for starting
H01J0061560000;One or more circuit elements structurally associated with the lamp
H01J0061580000;Lamps with both liquid anode and liquid cathode
H01J0061600000;Lamps in which the discharge space is substantially filled with mercury before ignition
H01J0061620000;Lamps with gaseous, e.g. plasma cathode
H01J0061640000;Cathode glow lamps
H01J0061660000;having one or more specially shaped cathodes, e.g. for advertising purposes
H01J0061680000;Lamps in which the main discharge is between parts of a current-carrying guide, e.g. halo lamp
H01J0061700000;Lamps with low-pressure unconstricted discharge
H01J0061720000;having a main light-emitting filling of easily vaporisable metal vapour, e.g. mercury
H01J0061740000;having a main light-emitting filling of difficult vaporisable metal vapour, e.g. sodium
H01J0061760000;having a filling of permanent gas or gases only
H01J0061780000;with cold cathode. with cathode heated only by discharge, e.g. high-tension lamp for advertising
H01J0061800000;Lamps suitable only for intermittent operation, e.g. flash lamp
H01J0061820000;Lamps with high-pressure unconstricted discharge
H01J0061840000;Lamps with discharge constricted by high pressure
H01J0061860000;with discharge additionally constricted by close spacing of electrodes, e.g. for optical projection
H01J0061880000;with discharge additionally constricted by envelope
H01J0061900000;Lamps suitable only for intermittent operation, e.g. flash lamp
H01J0061920000;Lamps with more than one main discharge path
H01J0061940000;Paths producing light of different wavelengths, e.g. for simulating daylight
H01J0061950000;Lamps with control electrode for varying intensity or wavelength of the light, e.g. for producing modulated light
H01J0061960000;Lamps with light-emitting discharge path and separately-heated incandescent body within a common envelope, e.g. for simulating daylight
H01J0061980000;Lamps with closely spaced electrodes heated to incandescence by light-emitting discharge, e.g. tungsten arc lamp
H01J0063000000;Cathode-ray or electron-stream lamps
H01J0063020000;Details, e.g. electrode, gas filling, shape of vessel
H01J0063040000;Vessels provided with luminescent coatings. Selection of materials for the coatings
H01J0063060000;Lamps with luminescent screen excited by the ray or stream
H01J0063080000;Lamps with gas plasma excited by the ray or stream
H01J0065000000;Lamps without any electrode inside the vessel. Lamps with at least one main electrode outside the vessel
H01J0065040000;Lamps in which a gas filling is excited to luminesce by an external electromagnetic field or by external corpuscular radiation, e.g. for indicating
H01J0065060000;Lamps in which a gas filling is excited to luminesce by radioactive material structurally associated with the lamp, e.g. inside the vessel
H01J0065080000;Lamps in which a screen or coating is excited to luminesce by radioactive material located inside the vessel
H01J0099000000;Subject matter not provided for in other groups of this subclass
H01K;ELECTRIC INCANDESCENT LAMPS (details or apparatus or processes for manufacture applicable to both discharge devices and incandescent lamps H01J. light sources using a combination of incandescent and other types of light generation H01J0061960000, H05B0035000000)
H01K0001000000;Details
H01K0001020000;Incandescent bodies
H01K0001040000;characterised by the material thereof
H01K0001060000;Carbon bodies
H01K0001080000;Metallic bodies
H01K0001100000;Bodies of metal or carbon combined with other substance
H01K0001120000;Bodies which are non-conductive when cold, e.g. for Nernst lamp
H01K0001140000;characterised by the shape
H01K0001160000;Electric connection thereto
H01K0001180000;Mountings or supports for the incandescent body
H01K0001200000;characterised by the material thereof
H01K0001220000;Lamp stems
H01K0001240000;Mounts for lamps with connections at opposite ends, e.g. for tubular lamp
H01K0001260000;Screens. Filters (associated with envelope H01K0001280000)
H01K0001280000;Envelopes. Vessels
H01K0001300000;incorporating lenses
H01K0001320000;provided with coatings on the walls. Vessels or coatings thereon characterised by the material thereof
H01K0001340000;Double-wall vessels
H01K0001360000;Seals between parts of vessel, e.g. between stem and envelope
H01K0001380000;Seals for leading-in conductors
H01K0001400000;Leading-in conductors
H01K0001420000;Means forming part of the lamp for the purpose of providing electrical connection to, or support for, the lamp
H01K0001440000;directly applied to, or forming part of, the vessel
H01K0001460000;supported by a separate part, e.g. base, cap
H01K0001480000;Removable caps
H01K0001500000;Selection of substances for gas fillings. Specified pressure thereof
H01K0001520000;Means for obtaining or maintaining the desired pressure within the vessel
H01K0001540000;Means for adsorbing or absorbing gas, or for preventing or removing efflorescence, e.g. by gettering
