G;SECTION G PHYSICS
G01R0021060000;by measuring current and voltage (G01R0021080000-G01R0021133000.  take precedence)..
G01R0021070000;in circuits having distributed constants (G01R0021090000 takes precedence)..
G01R0021080000;by using galvanomagnetic-effect devices, e.g. Hall-effect devices
G01R0021090000;in circuits having distributed constants
G01R0021100000;by using square-law characteristics of circuit elements, e.g. diodes, to measure power absorbed by loads of known impedance (G01R0021020000 takes precedence)..
G01R0021120000;in circuits having distributed constants
G01R0021127000;by using pulse modulation (G01R0021133000 takes precedence)..
G01R0021133000;by using digital technique
G01R0021140000;Compensating for temperature change
G01R0022000000;Arrangements for measuring time integral of electric power or current, e.g. electricity meters
G01R0022020000;by electrolytic methods
G01R0022040000;by calorimetric methods
G01R0022060000;by electronic methods
G01R0022080000;using analogue techniques
G01R0022100000;using digital techniques
G01R0023000000;Arrangements for measuring frequencies. Arrangements for analysing frequency spectra
G01R0023020000;Arrangements for measuring frequency, e.g. pulse repetition rate. Arrangements for measuring period of current or voltage
G01R0023040000;adapted for measuring in circuits having distributed constants
G01R0023060000;by converting frequency into an amplitude of current or voltage
G01R0023070000;using response of circuits tuned on resonance, e.g. grid-drip meter
G01R0023080000;using response of circuits tuned off resonance
G01R0023090000;using analogue integrators, e.g. capacitors establishing a mean value by balance of input signals and defined discharge signals or leakage
G01R0023100000;by converting frequency into a train of pulses, which are then counted
G01R0023120000;by converting frequency into phase shift
G01R0023140000;by heterodyning. by beat-frequency comparison
G01R0023150000;Indicating that frequency of pulses is either above or below a predetermined value or within or outside a predetermined range of values, by making use of non-linear or digital elements
G01R0023160000;Spectrum analysis. Fourier analysis
G01R0023163000;adapted for measuring in circuits having distributed constants
G01R0023165000;using filters
G01R0023167000;with digital filters
G01R0023170000;with optical auxiliary devices
G01R0023173000;Wobbulating devices similar to swept panoramic receivers
G01R0023175000;by delay means, e.g. tapped delay lines
G01R0023177000;Analysis of very low frequencies
G01R0023180000;with provision for recording frequency spectrum
G01R0023200000;Measurement of non-linear distortion
G01R0025000000;Arrangements for measuring phase angle between a voltage and a current or between voltages or currents
G01R0025020000;in circuits having distributed constants
G01R0025040000;involving adjustment of a phase shifter to produce a predetermined phase difference, e.g. zero difference
G01R0025060000;employing quotient instrument
G01R0025080000;by counting of standard pulses
G01R0027000000;Arrangements for measuring resistance, reactance, impedance, or electric characteristics derived therefrom
G01R0027020000;Measuring real or complex resistance, reactance, impedance, or other two-pole characteristics derived therefrom, e.g. time constant (by measuring phase angle only G01R0025000000)
G01R0027040000;in circuits having distributed constants
G01R0027060000;Measuring reflection coefficients. Measuring standing-wave ratio
G01R0027080000;Measuring resistance by measuring both voltage and current
G01R0027100000;using two-coil or crossed-coil instruments forming quotient
G01R0027120000;using hand generators, e.g. meggers
G01R0027140000;Measuring resistance by measuring current or voltage obtained from a reference source (G01R0027160000, G01R0027200000, G01R0027220000 take precedence)..
G01R0027160000;Measuring impedance of element or network through which a current is passing from another source, e.g. cable, power line
G01R0027180000;Measuring resistance to earth
G01R0027200000;Measuring earth resistance. Measuring contact resistance of earth connections, e.g. plates
G01R0027220000;Measuring resistance of fluids
G01R0027260000;Measuring inductance or capacitance. Measuring quality factor, e.g. by using the resonance method. Measuring loss factor. Measuring dielectric constants
G01R0027280000;Measuring attenuation, gain, phase shift, or derived characteristics of electric four-pole networks, i.e. two-port networks. Measuring transient response (in line transmission systems H04B0003460000)
G01R0027300000;with provision for recording characteristics, e.g. by plotting Nyquist diagram
G01R0027320000;in circuits having distributed constants
G01R0029000000;Arrangements for measuring or indicating electric quantities not covered by groups . G01R0019000000-G01R0027000000
G01R0029020000;Measuring characteristics of individual pulses, e.g. deviation from pulse flatness, rise time or duration
G01R0029027000;Indicating that a pulse characteristic is either above or below a predetermined value or within or beyond a predetermined range of values
G01R0029033000;giving an indication of the number of times this occurs
G01R0029040000;Measuring form factor, i.e. quotient of root-mean-square value and arithmetic mean of instantaneous value. Measuring peak factor, i.e. quotient of maximum value and root-mean-square value
G01R0029060000;Measuring depth of modulation
G01R0029080000;Measuring electromagnetic field characteristics
G01R0029100000;Radiation diagrams of aerials
G01R0029120000;Measuring electrostatic fields
G01R0029140000;Measuring field distribution
G01R0029160000;Measuring asymmetry of polyphase networks
G01R0029180000;Indicating phase sequence. Indicating synchronism
G01R0029200000;Measuring number of turns. Measuring transformation ratio or coupling factor of windings
G01R0029220000;Measuring piezo-electric properties
G01R0029240000;Arrangements for measuring quantities of charge
G01R0029260000;Measuring noise figure. Measuring signal-to-noise ratio
G01R0031000000;Arrangements for testing electric properties. Arrangements for locating electric faults. Arrangements for electrical testing characterised by what is being tested not provided for elsewhere (testing or measuring semiconductors or solid state devices during manufacture H01L0021660000. testing line transmission systems H04B0003460000)
G01R0031010000;"Subjecting similar articles in turn to test, e.g. ""go/no-go"" tests in mass production. Testing objects at points as they pass through a testing station (G01R0031180000 takes precedence).."
G01R0031020000;Testing of electric apparatus, lines, or components for short-circuits, discontinuities, leakage, or incorrect line connection
G01R0031040000;Testing connections, e.g. of plugs, of non-disconnectable joints
G01R0031060000;Testing of electric windings, e.g. for polarity
G01R0031070000;Testing of fuses
G01R0031080000;Locating faults in cables, transmission lines, or networks
G01R0031100000;by increasing destruction at fault, e.g. burning-in by using a pulse generator operating a special programme
G01R0031110000;using pulse-reflection methods
G01R0031120000;Testing dielectric strength or breakdown voltage
G01R0031140000;Circuits therefor
G01R0031160000;Construction of testing vessels. Electrodes therefor
G01R0031180000;"Subjecting similar articles in turn to test, e.g. ""go/no-go"" tests in mass production"
G01R0031200000;Preparation of articles or specimens to facilitate testing
G01R0031240000;Testing of discharge tubes (during manufacture H01J0009420000)
G01R0031250000;Testing of vacuum tubes
G01R0031260000;Testing of individual semiconductor devices (testing or measuring during manufacture or treatment H01L0021660000. testing of photovoltaic devices H02S0050100000)
G01R0031265000;Contactless testing
G01R0031270000;Testing of devices without physical removal from the circuit of which they form part, e.g. compensating for effects due to surrounding elements
G01R0031280000;Testing of electronic circuits, e.g. by signal tracer (testing computers during standby operation or idle time G06F0011220000)
G01R0031300000;Marginal testing, e.g. by varying supply voltage (testing computers during standby operation or idle time G06F0011220000)
G01R0031302000;Contactless testing
G01R0031303000;of integrated circuits (G01R0031305000-G01R0031315000.  take precedence)..
G01R0031304000;of printed or hybrid circuits (G01R0031305000-G01R0031315000.  take precedence)..
G01R0031305000;using electron beams
G01R0031306000;of printed or hybrid circuits
G01R0031307000;of integrated circuits
G01R0031308000;using non-ionising electromagnetic radiation, e.g. optical radiation
G01R0031309000;of printed or hybrid circuits
G01R0031311000;of integrated circuits
G01R0031312000;by capacitive methods
G01R0031315000;by inductive methods
G01R0031316000;Testing of analog circuits
G01R0031316100;Marginal testing
G01R0031316300;Functional testing
G01R0031316700;Testing of combined analog and digital circuits
G01R0031317000;Testing of digital circuits
G01R0031317300;Marginal testing
G01R0031317700;Testing of logic operation, e.g. by logic analysers
G01R0031318100;Functional testing (G01R0031317700 takes precedence)..
G01R0031318300;Generation of test inputs, e.g. test vectors, patterns or sequences
G01R0031318500;Reconfiguring for testing, e.g. LSSD, partitioning
G01R0031318700;Built-in tests
G01R0031319000;Tester hardware, i.e. output processing circuits
G01R0031319300;with comparison between actual response and known fault-free response
